Año de Elección,Votación Presidencial,Candidato (a),Región,Provincia,Cargo,Electo(a),Fecha de Elección,Fin de Período,Id Región,Inicio de Período,Nombre Provincia,Partido,Sigla Partido,Tipo de Elección,Votos Totales
1989,UNICA VOTACIÓN,PATRICIO AYLWIN,DE TARAPACA,1,PRESIDENTE,SI,1989-12-14,1994,1,1990,ARICA,DEMOCRATA CRISTIANO,DC,PRESIDENCIAL,44647
1989,UNICA VOTACIÓN,HERNAN BUCHI,DE TARAPACA,1,PRESIDENTE,,1989-12-14,1994,1,1990,ARICA,INDEPENDIENTE,INDEP,PRESIDENCIAL,26002
1989,UNICA VOTACIÓN,FRANCISCO JAVIER ERRAZURIZ,DE TARAPACA,1,PRESIDENTE,,1989-12-14,1994,1,1990,ARICA,INDEPENDIENTE,INDEP,PRESIDENCIAL,15051
1989,UNICA VOTACIÓN,VOTOS NULOS ,DE TARAPACA,1,PRESIDENTE,,1989-12-14,1994,1,1990,ARICA,,,PRESIDENCIAL,1731
1989,UNICA VOTACIÓN,VOTOS EN BLANCO ,DE TARAPACA,1,PRESIDENTE,,1989-12-14,1994,1,1990,ARICA,,,PRESIDENCIAL,1003
1989,UNICA VOTACIÓN,HERNAN BUCHI,DE TARAPACA,2,PRESIDENTE,,1989-12-14,1994,1,1990,PARINACOTA,INDEPENDIENTE,INDEP,PRESIDENCIAL,1073
1989,UNICA VOTACIÓN,PATRICIO AYLWIN,DE TARAPACA,2,PRESIDENTE,SI,1989-12-14,1994,1,1990,PARINACOTA,DEMOCRATA CRISTIANO,DC,PRESIDENCIAL,381
1989,UNICA VOTACIÓN,FRANCISCO JAVIER ERRAZURIZ,DE TARAPACA,2,PRESIDENTE,,1989-12-14,1994,1,1990,PARINACOTA,INDEPENDIENTE,INDEP,PRESIDENCIAL,313
1989,UNICA VOTACIÓN,VOTOS NULOS ,DE TARAPACA,2,PRESIDENTE,,1989-12-14,1994,1,1990,PARINACOTA,,,PRESIDENCIAL,92
1989,UNICA VOTACIÓN,VOTOS EN BLANCO ,DE TARAPACA,2,PRESIDENTE,,1989-12-14,1994,1,1990,PARINACOTA,,,PRESIDENCIAL,65
1989,UNICA VOTACIÓN,PATRICIO AYLWIN,DE TARAPACA,3,PRESIDENTE,SI,1989-12-14,1994,1,1990,IQUIQUE,DEMOCRATA CRISTIANO,DC,PRESIDENCIAL,37359
1989,UNICA VOTACIÓN,HERNAN BUCHI,DE TARAPACA,3,PRESIDENTE,,1989-12-14,1994,1,1990,IQUIQUE,INDEPENDIENTE,INDEP,PRESIDENCIAL,25218
1989,UNICA VOTACIÓN,FRANCISCO JAVIER ERRAZURIZ,DE TARAPACA,3,PRESIDENTE,,1989-12-14,1994,1,1990,IQUIQUE,INDEPENDIENTE,INDEP,PRESIDENCIAL,15860
1989,UNICA VOTACIÓN,VOTOS NULOS ,DE TARAPACA,3,PRESIDENTE,,1989-12-14,1994,1,1990,IQUIQUE,,,PRESIDENCIAL,1010
1989,UNICA VOTACIÓN,VOTOS EN BLANCO ,DE TARAPACA,3,PRESIDENTE,,1989-12-14,1994,1,1990,IQUIQUE,,,PRESIDENCIAL,671
1989,UNICA VOTACIÓN,PATRICIO AYLWIN,DE ANTOFAGASTA,4,PRESIDENTE,SI,1989-12-14,1994,2,1990,TOCOPILLA,DEMOCRATA CRISTIANO,DC,PRESIDENCIAL,14493
1989,UNICA VOTACIÓN,HERNAN BUCHI,DE ANTOFAGASTA,4,PRESIDENTE,,1989-12-14,1994,2,1990,TOCOPILLA,INDEPENDIENTE,INDEP,PRESIDENCIAL,5231
1989,UNICA VOTACIÓN,FRANCISCO JAVIER ERRAZURIZ,DE ANTOFAGASTA,4,PRESIDENTE,,1989-12-14,1994,2,1990,TOCOPILLA,INDEPENDIENTE,INDEP,PRESIDENCIAL,4192
1989,UNICA VOTACIÓN,VOTOS NULOS ,DE ANTOFAGASTA,4,PRESIDENTE,,1989-12-14,1994,2,1990,TOCOPILLA,,,PRESIDENCIAL,421
1989,UNICA VOTACIÓN,VOTOS EN BLANCO ,DE ANTOFAGASTA,4,PRESIDENTE,,1989-12-14,1994,2,1990,TOCOPILLA,,,PRESIDENCIAL,255
1989,UNICA VOTACIÓN,PATRICIO AYLWIN,DE ANTOFAGASTA,5,PRESIDENTE,SI,1989-12-14,1994,2,1990,EL LOA,DEMOCRATA CRISTIANO,DC,PRESIDENCIAL,36016
1989,UNICA VOTACIÓN,HERNAN BUCHI,DE ANTOFAGASTA,5,PRESIDENTE,,1989-12-14,1994,2,1990,EL LOA,INDEPENDIENTE,INDEP,PRESIDENCIAL,14875
1989,UNICA VOTACIÓN,FRANCISCO JAVIER ERRAZURIZ,DE ANTOFAGASTA,5,PRESIDENTE,,1989-12-14,1994,2,1990,EL LOA,INDEPENDIENTE,INDEP,PRESIDENCIAL,12463
1989,UNICA VOTACIÓN,VOTOS NULOS ,DE ANTOFAGASTA,5,PRESIDENTE,,1989-12-14,1994,2,1990,EL LOA,,,PRESIDENCIAL,990
1989,UNICA VOTACIÓN,VOTOS EN BLANCO ,DE ANTOFAGASTA,5,PRESIDENTE,,1989-12-14,1994,2,1990,EL LOA,,,PRESIDENCIAL,687
1989,UNICA VOTACIÓN,PATRICIO AYLWIN,DE ANTOFAGASTA,6,PRESIDENTE,SI,1989-12-14,1994,2,1990,ANTOFAGASTA,DEMOCRATA CRISTIANO,DC,PRESIDENCIAL,70170
1989,UNICA VOTACIÓN,HERNAN BUCHI,DE ANTOFAGASTA,6,PRESIDENTE,,1989-12-14,1994,2,1990,ANTOFAGASTA,INDEPENDIENTE,INDEP,PRESIDENCIAL,31917
1989,UNICA VOTACIÓN,FRANCISCO JAVIER ERRAZURIZ,DE ANTOFAGASTA,6,PRESIDENTE,,1989-12-14,1994,2,1990,ANTOFAGASTA,INDEPENDIENTE,INDEP,PRESIDENCIAL,20055
1989,UNICA VOTACIÓN,VOTOS NULOS ,DE ANTOFAGASTA,6,PRESIDENTE,,1989-12-14,1994,2,1990,ANTOFAGASTA,,,PRESIDENCIAL,1780
1989,UNICA VOTACIÓN,VOTOS EN BLANCO ,DE ANTOFAGASTA,6,PRESIDENTE,,1989-12-14,1994,2,1990,ANTOFAGASTA,,,PRESIDENCIAL,1038
1989,UNICA VOTACIÓN,PATRICIO AYLWIN,DE ATACAMA,7,PRESIDENTE,SI,1989-12-14,1994,3,1990,CHAÑARAL,DEMOCRATA CRISTIANO,DC,PRESIDENCIAL,14648
1989,UNICA VOTACIÓN,HERNAN BUCHI,DE ATACAMA,7,PRESIDENTE,,1989-12-14,1994,3,1990,CHAÑARAL,INDEPENDIENTE,INDEP,PRESIDENCIAL,5007
1989,UNICA VOTACIÓN,FRANCISCO JAVIER ERRAZURIZ,DE ATACAMA,7,PRESIDENTE,,1989-12-14,1994,3,1990,CHAÑARAL,INDEPENDIENTE,INDEP,PRESIDENCIAL,1784
1989,UNICA VOTACIÓN,VOTOS NULOS ,DE ATACAMA,7,PRESIDENTE,,1989-12-14,1994,3,1990,CHAÑARAL,,,PRESIDENCIAL,291
1989,UNICA VOTACIÓN,VOTOS EN BLANCO ,DE ATACAMA,7,PRESIDENTE,,1989-12-14,1994,3,1990,CHAÑARAL,,,PRESIDENCIAL,238
