Año de Elección,Candidato (a),Región,Cargo,Electo(a),Fecha de Elección,Fin de Período,Id Región,Inicio de Período,Partido,Sigla Partido,Tipo de Elección,Votos Totales,Votacion Total
1989,PALZA CORVACHO HUMBERTO,DE TARAPACA,SENADOR,SI,1989-12-14,1994,1,1990,DEMOCRATA CRISTIANO,PDC,PARLAMENTARIA,45258,45258
1989,LAGOS COSGROVE JULIO,DE TARAPACA,SENADOR,SI,1989-12-14,1994,1,1990,INDEPENDIENTE,INDEP,PARLAMENTARIA,42079,42079
1989,PALMA FOURCADE ANIBAL,DE TARAPACA,SENADOR,,1989-12-14,1994,1,1990,INDEPENDIENTE,INDEP,PARLAMENTARIA,30965,30965
1989,SORIA QUIROGA JORGE ALEJANDRO,DE TARAPACA,SENADOR,,1989-12-14,1994,1,1990,INDEPENDIENTE,INDEP,PARLAMENTARIA,27064,27064
1989,ABUSLEME ALFARO GABRIEL,DE TARAPACA,SENADOR,,1989-12-14,1994,1,1990,RENOVACION NACIONAL,RN,PARLAMENTARIA,7471,7471
1989,VOTOS NULOS,DE TARAPACA,SENADOR,,1989-12-14,1994,1,1990,  ,   ,PARLAMENTARIA,5034,207554
1989,PINO PARRAGUEZ RAQUEL,DE TARAPACA,SENADOR,,1989-12-14,1994,1,1990,INDEPENDIENTE,INDEP,PARLAMENTARIA,4089,4089
1989,VOTOS EN BLANCO,DE TARAPACA,SENADOR,,1989-12-14,1994,1,1990,  ,   ,PARLAMENTARIA,3725,150445
1989,DOUGNAC RODRIGUEZ FERNANDO,DE TARAPACA,SENADOR,,1989-12-14,1994,1,1990,INDEPENDIENTE,INDEP,PARLAMENTARIA,2644,2644
1989,BARAQUETT JORRATT YULIA,DE TARAPACA,SENADOR,,1989-12-14,1994,1,1990,INDEPENDIENTE,INDEP,PARLAMENTARIA,2143,2143
